#,Name,Play Number,QB Comment,Series,Field Position,Down,Distance,Gain,OFF Group,Personnel,The_Play,Backfield,FIB,Formation,Form Adj Y,Form Adj WR,Form Adj Bunch Stick,Empty,Motion,Motion 2,Motion 3,Protection,Play,Tempo,Run Concept,Pass Concept,Pass Concept 1,Pass Concept 2,Screen Concept,RPO1,ADDON 1,R/P,Pass Result,MOE,QB#,J#,EFF
1,"01 NCCR OFF vs. SCST (09/02/23), Play 001",1,,1,-34,0,10,-2,,11,DAFFY RT Y-IN IRON,GUN,,DAFFY,,,,,IN-Y,,,,IRON,,IRON-STEEL,,,,,,,R,,,4,13,N
2,"01 NCCR OFF vs. SCST (09/02/23), Play 002",2,,1,-32,2,12,-3,,11,DOLPHIN RT FLY S. ERASER,GUN,,DOLPHIN,,,,,,,FLY,,S. ERASER,,PENCIL-PAPER,ERASER,ERASER,,,,,P,,,4,13,N
3,"01 NCCR OFF vs. SCST (09/02/23), Play 003",3,,1,-29,3,15,11,,11,DAFFY LT THURSDAY (Y-IN JILL MARS ANKLE),GUN,,DAFFY,,,,,IN-Y,,,JILL-JACK,JILL MARS ANKLE,THURSDAY,,MARS ANKLE,MARS,ANKLE,,,,P,,,4,10,N
4,"01 NCCR OFF vs. SCST (09/02/23), Play 004",4,,2,-25,0,10,-2,,11,(U) FIB DBL RT OFF H-JET WOLF GARBAGE Z-CRACK,UNDER,X,DBL,OFF,,,,JET-H,,,,WOLF GARBAGE Z-CRACK,,WOLF-JAGUAR SWEEP,,,,,,CRACK-Z,R,,,4,10,N
5,"01 NCCR OFF vs. SCST (09/02/23), Play 005",5,,2,-23,2,12,4,,11F,DUO RT NASTY SPIDER CUT HERO,GUN,,DUO,,NASTY,,,,,,,SPIDER CUT HERO,,BEETLE-SPIDER CUT,HERO,HERO,,,,,R,,,4,13,N
6,"01 NCCR OFF vs. SCST (09/02/23), Play 006",6,,,-27,3,8,,,11,BUMP TROLLY LT THURSDAY,GUN,,TROLLY,,,,,,,BUMP,,THURSDAY,THURSDAY,,,,,,,,X,,PENALTY,4,,N
7,"01 NCCR OFF vs. SCST (09/02/23), Play 007",7,,2,-22,3,13,9,,11,TROLLY LT Y-PLANE BEETLE CUT,GUN,,TROLLY,,,,,PLANE-Y,,,,BEETLE CUT,,BEETLE-SPIDER CUT,,,,,,,R,,,4,13,N
8,"01 NCCR OFF vs. SCST (09/02/23), Play 008",8,,3,-10,0,10,,,21,(U) TRIPS LT Z-CAN S. PITT,UNDER,,TRIPS,,,,,CAN-Z,,,,S. PITT,,PITT,,,,,,,X,,PENALTY,4,28,N
9,"01 NCCR OFF vs. SCST (09/02/23), Play 009",9,,3,-7,2,13,5,,21,(U) TRIPS LT Z-CAN S. PITT,UNDER,,TRIPS,,,,,CAN-Z,,,,S. PITT,,PITT,,,,,,,R,,,4,28,N
10,"01 NCCR OFF vs. SCST (09/02/23), Play 010",10,,3,-12,3,8,,,11,BUMP DUAL RT CLASSY ROCK H-RAILROAD,GUN,,DUAL,,CLASSY,,,,,BUMP,LOAD-ROCK,ROCK H-RAILROAD,,,RAILROAD-H,RAILROAD-H,,,,,P,INT,INT,4,10,N
11,"01 NCCR OFF vs. SCST (09/02/23), Play 011",11,,4,-31,0,10,4,,21,STEP DEUCE RT SLOT BEETLE SLICE,GUN,,DEUCE,,SLOT,,,STEP,,,,BEETLE SLICE,,BEETLE-SPIDER SLICE,,,,,,,R,,,4,1,Y
12,"01 NCCR OFF vs. SCST (09/02/23), Play 012",12,,4,-35,2,6,14,,21,FLEX RT H-IN N. PITT HERO,GUN,,FLEX,,,,,IN-H,,,,N. PITT HERO,,PITT,HERO,HERO,,,,,R,,,4,1,Y
13,"01 NCCR OFF vs. SCST (09/02/23), Play 013",13,,4,-49,1,10,12,,21,FLEX RT H-IN N. PITT HERO,GUN,,FLEX,,,,,IN-H,,,,N. PITT HERO,,PITT,HERO,HERO,,,,,R,,,4,1,Y
14,"01 NCCR OFF vs. SCST (09/02/23), Play 014",14,,4,39,1,10,7,,21,FLEX RT H-IN N. PITT HERO,GUN,,FLEX,,,,,IN-H,,,,N. PITT HERO,,PITT,HERO,HERO,,,,,R,,,4,13,Y
15,"01 NCCR OFF vs. SCST (09/02/23), Play 015",15,#35 BLOCK,4,32,2,3,22,,21,FLEX RT H-IN BEETLE STRAIGHT CRACK,GUN,,FLEX,,,,,IN-H,,,,BEETLE STRAIGHT CRACK,,BEETLE-SPIDER STRAIGHT,,,,,,CRACK,R,,,4,4,Y
16,"01 NCCR OFF vs. SCST (09/02/23), Play 016",16,,4,10,1,10,7,,21,DEUCE RT Z-PLANE LEECH Z-SLICE,GUN,,DEUCE,,,,,PLANE-Z,,,,LEECH Z-SLICE,,ROACH-LEECH SLICE,,,,,,,R,,,4,13,Y
17,"01 NCCR OFF vs. SCST (09/02/23), Play 017",17,,4,3,2,3,1,,21,DEUCE RT Z-PLANE LEECH Z-SLICE,GUN,,DEUCE,,,,,PLANE-Z,,,,LEECH Z-SLICE,,ROACH-LEECH SLICE,,,,,,,R,,,4,1,N
18,"01 NCCR OFF vs. SCST (09/02/23), Play 018",18,,4,2,3,2,,,21,DEUCE RT SLOT THURSDAY,GUN,,DEUCE,,SLOT,,,,,,,THURSDAY,THURSDAY,,,,,,,,X,DEF PENALTY,,4,19,Y
19,"01 NCCR OFF vs. SCST (09/02/23), Play 019",19,,4,1,3,1,1,,12,(PEEK) DEUCE RT SLOT LION OLY,GUN,,DEUCE,,SLOT,,,,,,,LION OLY,PEEK,BEAR-LION OMAR,,,,,,,R,,,4,4,Y
20,"01 NCCR OFF vs. SCST (09/02/23), Play 020",20,,5,-25,0,10,8,,21,DEUCE LT SLOT LEECH MIKE,GUN,,DEUCE,,SLOT,,,,,,,LEECH MIKE,,ROACH-LEECH MIKE,,,,,,,R,,,4,1,Y
21,"01 NCCR OFF vs. SCST (09/02/23), Play 021",21,,5,-33,2,2,1,,21,FLEX LT H-IN SPIDER STRAIGHT CRACK,GUN,,FLEX,,,,,IN-H,,,,SPIDER STRAIGHT CRACK,,BEETLE-SPIDER STRAIGHT,,,,,,CRACK,P,,,4,81,N
22,"01 NCCR OFF vs. SCST (09/02/23), Play 022",22,,5,-34,3,1,16,,21,NINER BUG,GUN,,TRAIN,,,BILLY,,,,,,NINER BUG,NINER,BEETLE-SPIDER QK,,,,,,,R,,,4,1,Y
23,"01 NCCR OFF vs. SCST (09/02/23), Play 023",23,,5,50,1,10,,,12,DEUCE RT SLOT S. CALI GRONK GOAT,GUN,,DEUCE,,SLOT,,,,,,CALI,S. CALI GRONK GOAT,,,GRONK GOAT,GRONK,GOAT,,,,X,,PENALTY,4,4,N
24,"01 NCCR OFF vs. SCST (09/02/23), Play 024",24,,5,50,1,10,-2,,21,DEUCE RT SLOT ROACH MIKE,GUN,,DEUCE,,SLOT,,,,,,,ROACH MIKE,,ROACH-LEECH MIKE,,,,,,,R,,,4,28,N
25,"01 NCCR OFF vs. SCST (09/02/23), Play 025",25,,5,-48,2,12,,,11,DAFFY RT FLY LOAD SLOP R-SWING,GUN,,DAFFY,,,,,,,FLY,LOAD-ROCK,LOAD SLOP R-SWING,,,SLOP SWING-R,SLOP,SWING-R,,,,X,,PENALTY,4,28,N
26,"01 NCCR OFF vs. SCST (09/02/23), Play 026",26,,5,-40,2,20,15,,11,DUAL LT OFF NASTY STEEL Z-POP,GUN,,DUAL,OFF,NASTY,,,,,,,STEEL Z-POP,,IRON-STEEL,,,,,POP-Z,,P,,,4,19,Y
27,"01 NCCR OFF vs. SCST (09/02/23), Play 027",27,,5,45,3,5,,,11,DOLPHIN LT THURSDAY,GUN,,DOLPHIN,,,,,,,,,THURSDAY,THURSDAY,,,,,,,,X,DEF PENALTY,,4,,Y
28,"01 NCCR OFF vs. SCST (09/02/23), Play 028",28,,5,30,1,10,10,,21,FLEX LT H-IN S. PITT HERO,GUN,,FLEX,,,,,IN-H,,,,S. PITT HERO,,PITT,HERO,HERO,,,,,R,,,4,1,Y
