#,Name,Play Number,QB Comment,Series,Field Position,Down,Distance,Gain,OFF Group,Personnel,The_Play,Backfield,FIB,Formation,Form Adj Y,Form Adj WR,Form Adj Bunch Stick,Empty,Motion,Motion 2,Motion 3,Protection,Play,Tempo,Run Concept,Pass Concept,Pass Concept 1,Pass Concept 2,Screen Concept,RPO1,ADDON 1,R/P,Pass Result,MOE,QB#,J#,EFF,gamedate,pff_GAMEDATE,pff_WEEK,pff_QUARTER,pff_DOWN,pff_CLOCK,pff_2MINUTE,pff_DRIVESTARTEVENT,pff_DRIVEENDEVENT,pff_DRIVESTARTFIELDPOSITION,pff_DRIVEENDFIELDPOSITION,pff_FIELDPOSITION,pff_DRIVEENDPLAYNUMBER,pff_DRIVE,pff_DRIVEPLAY,pff_GAINLOSS,pff_GAINLOSSNET,pff_DISTANCE,pff_FIRST_DOWN_GAINED,pff_RUNPASS,pff_RUNPASSOPTION,pff_PASSRESULT,pff_QB,pff_BALLCARRIER,pff_PENALTYYARDS,pff_SCORE,pff_SCOREDIFFERENTIAL,pff_OFFPERSONNELBASIC,pff_OFFPERSONNEL,pff_OFFFORMATIONGROUP,pff_TIMETOTHROW,pff_YARDSAFTERCATCH,pff_YARDSAFTERCONTACT,pff_DEFPERSONNEL,pff_HASH,pff_INTERCEPTION,pff_PASSDIRECTION,pff_PASSRECEIVERTARGET,Unnamed: 37,pff_PENALTY,pff_QBPRESSUREALLOWED,pff_QBSCRAMBLE,pff_RBALIGNMENT,pff_RBDEPTH,pff_RBDIRECTION,pff_RBSINBACKFIELD,pff_RUNCONCEPTPRIMARY,pff_RUNCONCEPTSECONDARY,pff_SACK,pff_TEALIGNMENT,pff_PLAYCLOCK
71,"01 NCCR OFF vs. MDUN (09/09/23), Play 001",1,,1,-25,0,10,4,,11,TRAIN LT OX FLASH AKRON EDGE,GUN,,TRAIN,,OX,,,,,,,AKRON EDGE,,CLEVELAND-AKRON EDGE,,,,,,,R,,,4,4,Y,9/9/2023,9/9/2023,2,1,1,15:00,0,KICKOFF - TB,TOUCHDOWN,-25,0,-25,5,1,1,4,4,10,,R,0,,NCCR 04,NCCR 04,,0,0,11,3-0-1-1,4x0,,,3,3/3/2005,R,,,,,,,,HB-L,HB-L (-5),R,1; NCCR 13 (HB-L),COUNTER,QB RUNS,,L,11
72,"01 NCCR OFF vs. MDUN (09/09/23), Play 002",2,,1,-29,2,6,6,,23,(P) FIB Z-TANGO LT BILLY S. CINCY EDGE Z-BOSS,PISTOL,X,TANGO,,,BILLY,,,,,,S. CINCY EDGE Z-BOSS,,CINCY EDGE BOSS,,,,,,BOSS-Z,R,,,4,1,Y,9/9/2023,9/9/2023,2,1,2,14:18,0,KICKOFF - TB,TOUCHDOWN,-25,0,-29,5,1,2,6,6,6,1,R,0,,NCCR 04,NCCR 01,,0,0,14,0-0-1-4,1x3,,,2,3/4/2004,R,,,,,,,,HB,HB (-7),L,1; NCCR 01 (HB),COUNTER,CROSS LEAD,,L;R;R;R,4
73,"01 NCCR OFF vs. MDUN (09/09/23), Play 003",3,,1,-35,1,10,9,,21,TROUBLE LT H-IN S. PITT COVER Z-CRACK,GUN,,TROUBLE,,,,,IN-H,,,,S. PITT COVER Z-CRACK,,PITT COVER,,,,,,CRACK-Z,R,,,4,0,Y,9/9/2023,9/9/2023,2,1,1,13:36,0,KICKOFF - TB,TOUCHDOWN,-25,0,-35,5,1,3,9,9,10,,R,0,,NCCR 04,NCCR 00,,0,0,12,2-0-1-2,2x1,,,5,3/4/2004,R,,,,,,,,HB-R; FB-L,HB-R (-5); FB-L (-4),L,2; NCCR 00 (HB-R); NCCR 35 (FB-L),POWER,INVERTED;READ OPTION,,L,1
74,"01 NCCR OFF vs. MDUN (09/09/23), Play 004",4,,1,-44,2,1,8,,21,NINER THURSDAY (CK. BEETLE FOLLOW),GUN,,TRAIN,,,BILLY,,,,,,BEETLE FOLLOW,THURSDAY,BEETLE-SPIDER FOLLOW,,,,,,,R,,,4,4,Y,9/9/2023,9/9/2023,2,1,2,12:56,0,KICKOFF - TB,TOUCHDOWN,-25,0,-44,5,1,4,8,8,1,1,R,0,,NCCR 04,NCCR 04,,0,0,12,2-0-1-2,1x3,,,4,3/4/2004,C,,,,,,,,HB-R,HB-R (-6),R,1; NCCR 00 (HB-R),MAN,LEAD;QB RUNS,,R;R,7
75,"01 NCCR OFF vs. MDUN (09/09/23), Play 005",5,,1,48,1,10,48,,21,H-TORCH RT H-IN S. GOLFER SAIL,GUN,,TORCH,,,,,IN-H,,,GOLFER,S. GOLFER SAIL,,,GOLFER SAIL,GOLFER,SAIL,,,,P,C,,4,12,Y,9/9/2023,9/9/2023,2,1,1,12:08,0,KICKOFF - TB,TOUCHDOWN,-25,0,48,5,1,5,48,48,10,1,P,0,COMPLETE,NCCR 04,NCCR 12,,0,0,12,2-0-1-2,3x1,3.4,3,0,3/4/2004,R,,L,NCCR 12,,,,,HB-R,HB-R (-5),,1; NCCR 00 (HB-R),,,,L,1
76,"01 NCCR OFF vs. MDUN (09/09/23), Play 006",6,,2,-40,0,10,9,,12,(U) Y-IN FAR RT NASTY N. CINCY,UNDER,,FAR,,,,,IN-Y,,,,N. CINCY,,CINCY,,,,,,,R,,,4,1,Y,9/9/2023,9/9/2023,2,1,1,10:57,0,PUNT - RETURN,PUNT,-40,47,-40,5,2,1,9,9,10,,R,0,,NCCR 04,NCCR 01,,0,14,12,2-0-1-2,1x2,,,5,3/4/2004,L,,,,,,,,HB; FB-L,HB (-7); FB-L (-4),R,2; NCCR 01 (HB); NCCR 86 (FB-L),COUNTER,CROSS LEAD,,R,16
77,"01 NCCR OFF vs. MDUN (09/09/23), Play 007",7,,2,-49,2,1,3,,12,TRIPS RT OX BEETLE FOLLOW,GUN,,TRIPS,,OX,,,,,,,BEETLE FOLLOW,,BEETLE-SPIDER FOLLOW,,,,,,,R,,,4,4,Y,9/9/2023,9/9/2023,2,1,2,10:24,0,PUNT - RETURN,PUNT,-40,47,-49,5,2,2,3,3,1,1,R,0,,NCCR 04,NCCR 04,,0,14,12,2-0-1-2,0x4,,,3,3/4/2004,L,,,,,,,,HB-R,HB-R (-6),R,1; NCCR 01 (HB-R),MAN,LEAD;QB RUNS,,R;R,18
78,"01 NCCR OFF vs. MDUN (09/09/23), Play 008",8,,2,48,1,10,-1,,12,SHUFFLE DEUCE RT SLOT N. CINCY,GUN,,DEUCE,,SLOT,,,,,SHUFFLE,,N. CINCY,,CINCY,,,,,,,R,,,4,1,N,9/9/2023,9/9/2023,2,1,1,9:39,0,PUNT - RETURN,PUNT,-40,47,48,5,2,3,-1,-1,10,,R,0,,NCCR 01,NCCR 01,,0,14,12,2-0-1-2,3x1,,,3,3/4/2004,R,,,,,,,,HB-L,HB-L (-5),R,1; NCCR 04 (HB-L),COUNTER,CROSS LEAD;QB RUNS,,L;R,3
79,"01 NCCR OFF vs. MDUN (09/09/23), Play 009",9,,2,49,2,11,0,,12,TROLLY LT OX TEQUILA (CK. WOLF BIBLE),GUN,,TROLLY,,OX,,,,,,,WOLF BIBLE,TEQUILA,WOLF-JAGUAR BIBLE,,,,,,,R,,,4,0,N,9/9/2023,9/9/2023,2,1,2,8:58,0,PUNT - RETURN,PUNT,-40,47,49,5,2,4,0,0,11,,R,0,,NCCR 04,NCCR 00,,0,14,12,2-0-1-2,4x0,,,1,3/4/2004,R,,,,,,,,HB-R,HB-R (-5),L,1; NCCR 00 (HB-R),OUTSIDE ZONE,READ OPTION,,,7
80,"01 NCCR OFF vs. MDUN (09/09/23), Play 010",10,,,49,3,11,,,11,DAFFY LT Y-IN LOAD Y-DELAY STAR,GUN,,DAFFY,,,,,IN-Y,,,LOAD-ROCK,LOAD Y-DELAY STAR,,,DELAY-Y STAR,DELAY-Y,STAR,,,,X,,PENALTY,4,,,9/9/2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
