pff_GAMEDATE,pff_WEEK,pff_QUARTER,pff_DOWN,pff_CLOCK,pff_2MINUTE,pff_DRIVESTARTEVENT,pff_DRIVEENDEVENT,pff_DRIVESTARTFIELDPOSITION,pff_DRIVEENDFIELDPOSITION,pff_FIELDPOSITION,pff_DRIVEENDPLAYNUMBER,pff_DRIVE,pff_DRIVEPLAY,pff_GAINLOSS,pff_GAINLOSSNET,pff_DISTANCE,pff_FIRST_DOWN_GAINED,pff_RUNPASS,pff_RUNPASSOPTION,pff_PASSRESULT,pff_QB,pff_BALLCARRIER,pff_PENALTYYARDS,pff_SCORE,pff_SCOREDIFFERENTIAL,pff_OFFPERSONNELBASIC,pff_OFFPERSONNEL,pff_OFFFORMATIONGROUP,pff_TIMETOTHROW,pff_YARDSAFTERCATCH,pff_YARDSAFTERCONTACT,pff_DEFPERSONNEL,pff_HASH,pff_INTERCEPTION,pff_PASSDIRECTION,pff_PASSRECEIVERTARGET,,pff_PENALTY,pff_QBPRESSUREALLOWED,pff_QBSCRAMBLE,pff_RBALIGNMENT,pff_RBDEPTH,pff_RBDIRECTION,pff_RBSINBACKFIELD,pff_RUNCONCEPTPRIMARY,pff_RUNCONCEPTSECONDARY,pff_SACK,pff_TEALIGNMENT,pff_PLAYCLOCK
9/2/2023,1,1,1,14:52,0,KICKOFF - RETURN,PUNT,-34,-40,-34,3,1,1,-2,-2,10,,R,1,,NCCR 04,NCCR 13,,0,0,11,3-0-1-1,2x2,,,1,4/4/2003,R,,,,,,,,HB-L,HB-L (-5),R,1; NCCR 13 (HB-L),POWER,,,R,2
9/2/2023,1,1,2,14:25,0,KICKOFF - RETURN,PUNT,-34,-40,-32,3,1,2,-3,-3,12,,P,0,COMPLETE,NCCR 04,NCCR 13,,0,0,11,3-0-1-1,3x2,1.3,2,2,4/4/2003,R,,M,NCCR 13,,,,,EMPTY,,,,,,,,19
9/2/2023,1,1,3,13:37,0,KICKOFF - RETURN,PUNT,-34,-40,-29,3,1,3,11,11,15,,P,0,COMPLETE,NCCR 04,NCCR 10,,0,0,11,3-0-1-1,2x2,2.3,2,0,4/3/2004,L,,M,NCCR 10,,,,,HB-L,HB-L (-5),,1; NCCR 13 (HB-L),,,,L,2
9/2/2023,1,1,4,12:54,0,,,,,-40,,,,44,44,4,,,0,,,,,0,0,,,,,,,,R,,,,,,,,R,,,,,,,,5
9/2/2023,1,1,1,6:37,0,PUNT - OOB,PUNT,-25,-29,-25,3,2,1,-2,-2,10,,R,0,,NCCR 04,NCCR 10,,0,0,11,3-0-1-1,2x2,,,2,4/4/2003,L,,,,,,,,HB,HB (-7),L,1; NCCR 13 (HB),TRICK,MISDIRECTION,,R,21
9/2/2023,1,1,2,6:05,0,PUNT - OOB,PUNT,-25,-29,-23,3,2,2,4,4,12,,R,1,,NCCR 04,NCCR 13,,0,0,11,3-0-1-1,2x1,,,4,4/4/2003,R,,,,,,,,HB-L; FB-R,HB-L (-5); FB-R (-4),R,2; NCCR 13 (HB-L); NCCR 35 (FB-R),INSIDE ZONE,SPLIT,,,14
9/2/2023,1,1,3,5:29,0,,,,,-27,,,,,-5,8,,X,0,,NCCR 04,,-5,0,0,11,3-0-1-1,3x1,,,,4/3/2004,C,,,,,NCCR 12 FST,,,HB-R,HB-R (-5),,1; NCCR 13 (HB-R),,,,,13
9/2/2023,1,1,3,5:11,0,PUNT - OOB,PUNT,-25,-29,-22,3,2,3,7,7,13,,R,0,,NCCR 04,NCCR 13,,0,0,11,3-0-1-1,3x1,,,0,4/3/2004,C,,,,,,,,HB-R,HB-R (-5),L,1; NCCR 13 (HB-R),INSIDE ZONE,SPLIT,,,8
9/2/2023,1,1,4,4:19,0,,,,,-29,,,,,-5,6,,,0,,,,-5,0,0,,,,,,,,C,,,,,NCCR S44 DOG,,,L,,,,,,,,0
9/2/2023,1,1,4,4:19,0,,,,,-24,,,,24,24,11,,,0,,,,,0,0,,,,,,,,C,,,,,,,,L,,,,,,,,11
9/2/2023,1,1,1,2:41,0,PUNT - OOB,INTERCEPTION,-10,-12,-10,3,3,1,7,-1,10,,R,0,,NCCR 04,NCCR 28,-8,0,0,12,2-0-1-2,2x2,,,5,4/3/2004,R,,,,,NCCR 50 UNR,,,HB,HB (-7),L,1; NCCR 28 (HB),POWER,,,L;L,14
9/2/2023,1,1,2,2:25,0,PUNT - OOB,INTERCEPTION,-10,-12,-7,3,3,2,4,5,13,,R,0,,NCCR 04,NCCR 28,,0,0,12,2-0-1-2,2x2,,,1,4/4/2003,R,,,,,,,,HB,HB (-6),L,1; NCCR 28 (HB),POWER,,,L;L,18
9/2/2023,1,1,3,1:32,0,PUNT - OOB,INTERCEPTION,-10,-12,-12,3,3,3,,0,8,,P,0,INTERCEPTION,NCCR 04,,15,0,0,11,3-0-1-1,2x2,4.1,,,4/3/2004,R,SCST D25,M,NCCR 10,,SCST D56 UNSd,NCCR 50; NCCR 79,,HB-R,HB-R (-5),,1; NCCR 01 (HB-R),,,,R,20
9/2/2023,1,2,1,13:45,0,KICKOFF - RETURN,TOUCHDOWN,-31,0,-31,8,4,1,4,4,10,,R,0,,NCCR 04,NCCR 01,,0,-3,12,2-0-1-2,3x1,,,1,4/4/2003,R,,,,,,,,HB-R,HB-R (-6),R,1; NCCR 01 (HB-R),MAN,SPLIT,,L;R,14
9/2/2023,1,2,2,13:15,0,KICKOFF - RETURN,TOUCHDOWN,-31,0,-35,8,4,2,14,14,6,1,R,0,,NCCR 04,NCCR 01,,0,-3,12,2-0-1-2,2x2,,,0,4/4/2003,R,,,,,,,,HB-L,HB-L (-5),R,1; NCCR 01 (HB-L),POWER,,,R,16
9/2/2023,1,2,1,12:48,0,KICKOFF - RETURN,TOUCHDOWN,-31,0,-49,8,4,3,12,12,10,1,R,1,,NCCR 04,NCCR 01,,0,-3,12,2-0-1-2,2x2,,,11,4/4/2003,R,,,,,,,,HB-L,HB-L (-6),R,1; NCCR 01 (HB-L),POWER,,,R,21
9/2/2023,1,2,1,12:12,0,KICKOFF - RETURN,TOUCHDOWN,-31,0,39,8,4,4,7,7,10,,R,1,,NCCR 04,NCCR 13,,0,-3,12,2-0-1-2,2x2,,,4,4/4/2003,C,,,,,,,,HB-L,HB-L (-5),R,1; NCCR 13 (HB-L),POWER,,,R,12
9/2/2023,1,2,2,11:33,0,KICKOFF - RETURN,TOUCHDOWN,-31,0,32,8,4,5,22,22,3,1,R,1,,NCCR 04,NCCR 04,,0,-3,12,2-0-1-2,2x2,,,0,4/4/2003,C,,,,,,,,HB-R,HB-R (-6),R,1; NCCR 13 (HB-R),MAN,READ OPTION,,R,10
9/2/2023,1,2,1,10:53,0,KICKOFF - RETURN,TOUCHDOWN,-31,0,10,8,4,6,7,7,10,,R,0,,NCCR 04,NCCR 13,,0,-3,12,2-0-1-2,3x1,,,2,4/4/2003,R,,,,,,,,HB-R,HB-R (-5),R,1; NCCR 13 (HB-R),MAN,SPLIT,,L;R,6
9/2/2023,1,2,2,10:27,0,KICKOFF - RETURN,TOUCHDOWN,-31,0,3,8,4,7,1,1,3,,R,0,,NCCR 04,NCCR 01,,0,-3,12,2-0-1-2,3x1,,,3,4/4/2003,R,,,,,,,,HB-R,HB-R (-6),R,1; NCCR 01 (HB-R),MAN,SPLIT,,L;R,21
9/2/2023,1,2,3,10:05,0,,,,,2,,,,,1,2,,P,0,INCOMPLETE,NCCR 04,,1,0,-3,12,2-0-1-2,3x1,2,,,4/4/2003,R,,M,NCCR 19,,SCST D44 DOF,,,HB-R,HB-R (-5),R,1; NCCR 01 (HB-R),,,,L;R,24
9/2/2023,1,2,3,9:59,0,KICKOFF - RETURN,TOUCHDOWN,-31,0,1,8,4,8,1,1,1,1,R,0,,NCCR 04,NCCR 04,,0,-3,12,2-0-1-2,3x1,,,0,4/4/2003,R,,,,,,,,HB-L,HB-L (-5),L,1; NCCR 01 (HB-L),OUTSIDE ZONE,SPEED OPTION,,L;R,10
